temperature,dew point temperature,relative humidity,transmission rate of a disease,rate of incidence of a disease in the population,rate of infection of a disease in the population,size of the susceptible population,observed incidence rate in the population
0.20670465528152004,-0.1344383117182181,1989.5810576355593,-857.0206018466271,-550.9845632031386,-0.21912282623573504,-0.009658351193621495,-345.4184101921054
-0.06475693762032239,-0.03613008937762325,1989.5570564416294,-857.068475020624,-550.9745580897353,0.07034523690649365,0.005874563330330725,-345.52278914346834
-0.08323946413079612,-0.03861852554852327,1989.7593591917207,-856.9565918824325,-550.8245603021909,0.19553366740421443,-0.04087433130998587,-345.4591201696672
-0.020258077030959963,-0.1529373381018232,1989.7122674196346,-857.0615800530385,-551.1198045405071,-0.044996468834686776,-0.1186126430638887,-345.5078244692349
0.026069663252025144,-0.0573023562347158,1989.7134322914487,-857.1014727317028,-550.8766278713422,0.054921019324684475,-0.11750581760675112,-345.45975891698924
0.04517456565592833,-0.013431088297905534,1989.5836483752287,-857.1114770610748,-550.7331299545793,0.03585389060932671,0.17390952173805715,-345.5195116341761
-0.08937612535776518,-0.07199199607027759,1989.7588682919747,-857.1286538452666,-550.9738671657752,-0.05370306242657648,0.15114813049291484,-345.49723993120176
0.12540363137570645,-0.17774803061399758,1989.675572150399,-857.2102873342776,-551.1456492078622,-0.008922644164490061,-0.04613643845670788,-345.7901617654209
-0.0827364560976995,-0.06682724042226278,1989.3998426792302,-857.1675320416315,-550.8690261550088,-0.1259203076308721,-0.10594041660414213,-345.80213585219343
0.22682508736838303,0.0563778285611398,1989.6045702784181,-857.1714342994046,-551.05030623118,-0.11766422692564625,0.0012995770374210345,-345.5635793649485
-0.06612609822883239,-0.08936601116635212,1989.7098034576677,-857.0396017638775,-550.9666402756244,-0.06155949729356561,0.10185674222238483,-345.5702314495148
-0.008212590180410612,-0.005494853663489478,1989.6488270005777,-857.1904283115027,-550.7728486849877,0.06352225594430842,-0.04012716694223002,-345.73740263199176
0.050531103346322374,-0.10336145274643266,1989.6810198729943,-857.1915206292787,-551.1007724670156,-0.0346447104281304,0.0844770277013488,-345.5738856542982
0.053831250074999795,0.14144372477166361,1989.5617809373368,-856.9589777936684,-550.9354562295499,0.012419084597211387,-0.07227981542592424,-345.75536371402103
